"species","datasourceGUID","seedlotGUID","scarified","cs","ws","light","alternating","temperature","nseeds","ngerminated"
"Achillea clypeolata","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","E815B413-0EAF-D27A-56FC-71926B0D584D","0","0","0","1","0",21,50,50
"Achillea clypeolata","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","E815B413-0EAF-D27A-56FC-71926B0D584D","0","0","0","1","0",20,20,19
"Achillea millefolium","AAC0AAC2-D0AD-EAD4-BAA1-EC445228F019","94BE03E2-C4A7-1A87-E99C-23524D2A2C04","0","0","0","1","1",20,25,18
"Achillea millefolium","AAC0AAC2-D0AD-EAD4-BAA1-EC445228F019","94BE03E2-C4A7-1A87-E99C-23524D2A2C04","0","0","0","1","1",20,25,25
"Achillea millefolium","AAC0AAC2-D0AD-EAD4-BAA1-EC445228F019","94BE03E2-C4A7-1A87-E99C-23524D2A2C04","0","0","0","1","1",20,25,21
"Achillea millefolium","AAC0AAC2-D0AD-EAD4-BAA1-EC445228F019","94BE03E2-C4A7-1A87-E99C-23524D2A2C04","0","0","0","1","1",20,25,22
"Achillea distans","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","73280840-C7C0-FE0C-6BE1-5A3CBC4401E7","0","0","0","1","0",25,20,19
"Achillea distans","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","73280840-C7C0-FE0C-6BE1-5A3CBC4401E7","0","0","0","1","0",20,20,18
"Achillea millefolium","62540DFB-67FE-81BB-4133-0259D6F40647","194F96D1-DF17-C056-3D6F-02FBD28FA8B7","0","0","0","1","1",25,94,86
"Achillea millefolium","0E8749BE-989C-C711-918F-63FC0A5412BF","D5A505DD-D8C8-8768-B8E1-7B310833645F","0","0","0","1","1",6,90,33
"Achillea millefolium","0E8749BE-989C-C711-918F-63FC0A5412BF","D5A505DD-D8C8-8768-B8E1-7B310833645F","0","0","0","1","1",26,90,71
"Achillea millefolium","62540DFB-67FE-81BB-4133-0259D6F40647","194F96D1-DF17-C056-3D6F-02FBD28FA8B7","0","0","0","1","1",17,98,98
"Achillea millefolium","900954D5-C525-5AA6-2EBA-67494EA45E81","CBB1B8DD-A6C6-4E93-64FF-842954B7F4E0","0","0","0","1","0",15,100,100
"Achillea millefolium","0E8749BE-989C-C711-918F-63FC0A5412BF","D5A505DD-D8C8-8768-B8E1-7B310833645F","0","0","0","1","1",15,90,72
"Achillea millefolium","900954D5-C525-5AA6-2EBA-67494EA45E81","CBB1B8DD-A6C6-4E93-64FF-842954B7F4E0","0","0","0","1","1",15,100,100
"Achillea millefolium","900954D5-C525-5AA6-2EBA-67494EA45E81","CBB1B8DD-A6C6-4E93-64FF-842954B7F4E0","0","0","0","0","0",15,100,13
"Achillea millefolium","900954D5-C525-5AA6-2EBA-67494EA45E81","CBB1B8DD-A6C6-4E93-64FF-842954B7F4E0","0","0","0","1","0",15,100,99
"Achillea millefolium","62540DFB-67FE-81BB-4133-0259D6F40647","194F96D1-DF17-C056-3D6F-02FBD28FA8B7","0","0","0","1","1",9,84,66
"Achillea millefolium","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","B7CC1A31-DBAB-1870-4EB8-9823D01E5A97","0","0","0","1","0",25,50,49
"Achillea millefolium","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","AFF4AA06-BED3-F5D6-EB77-F2520125B5A1","0","0","0","1","0",10,20,14
"Achillea millefolium","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","0159BBB5-055C-56CC-9E1E-352961D0E812","0","0","0","1","0",15,50,50
"Achillea millefolium","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","0159BBB5-055C-56CC-9E1E-352961D0E812","0","0","0","1","0",16,50,49
"Achillea millefolium","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","AFF4AA06-BED3-F5D6-EB77-F2520125B5A1","0","0","0","1","0",15,19,15
"Achillea millefolium","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","AFF4AA06-BED3-F5D6-EB77-F2520125B5A1","0","0","0","1","0",20,20,19
"Achillea millefolium","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","B7CC1A31-DBAB-1870-4EB8-9823D01E5A97","0","0","0","1","0",26,50,50
"Achillea erba-rotta","BB6C651B-5148-3167-33FE-8C707BB019A6","8557B818-BEE1-0766-00AE-073C5065CCEE","0","0","0","0","0",0,60,0
"Achillea erba-rotta","BB6C651B-5148-3167-33FE-8C707BB019A6","8557B818-BEE1-0766-00AE-073C5065CCEE","0","1","0","1","1",10,60,60
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","A38D63DF-ABBC-4A11-5EB8-62795C342AE4","0","0","0","1","0",25,24,11
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","1","0","1","0",15,30,30
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","1","0","1","1",20,30,30
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","0","0","1","0",15,28,7
"Achillea erba-rotta","BB6C651B-5148-3167-33FE-8C707BB019A6","8557B818-BEE1-0766-00AE-073C5065CCEE","0","1","0","1","1",20,60,60
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","1","0","1","0",20,30,28
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","1","0","1","1",15,26,26
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","A38D63DF-ABBC-4A11-5EB8-62795C342AE4","0","0","0","1","1",25,29,20
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","0","0","1","0",20,28,18
"Achillea erba-rotta","BB6C651B-5148-3167-33FE-8C707BB019A6","8557B818-BEE1-0766-00AE-073C5065CCEE","0","0","0","1","1",20,60,52
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","1","0","1","1",7.5,28,7
"Achillea erba-rotta","BB6C651B-5148-3167-33FE-8C707BB019A6","8557B818-BEE1-0766-00AE-073C5065CCEE","0","0","0","1","1",10,60,3
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","0","0","1","1",15,28,9
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","0","0","1","1",20,26,20
"Achillea erba-rotta","CE97EB3E-828B-3D89-DA70-76D3C87815BC","FC86536F-E1E4-CE42-01FB-502281FB7AB6","0","0","0","1","1",7.5,29,4
"Achillea erba-rotta","9EB3CF66-EDC4-FA15-0369-D5CE66893ACA","2037DCB2-4961-911B-637F-BCA7B4BCAF5F","0","0","0","1","0",15,28,7
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","CAF729CB-0025-5280-32CA-F67D1D75AD0F","0","0","0","1","0",15,46,6
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","9A8E1C01-F17A-184D-6CA3-62B7AC4598CE","0","0","0","1","0",15,19,12
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","303D5936-958B-11CB-E4E7-791C1B647CAD","0","0","0","1","0",25,17,15
"Achillea erba-rotta","9EB3CF66-EDC4-FA15-0369-D5CE66893ACA","2037DCB2-4961-911B-637F-BCA7B4BCAF5F","0","0","0","1","1",20,26,20
"Achillea erba-rotta","9EB3CF66-EDC4-FA15-0369-D5CE66893ACA","2037DCB2-4961-911B-637F-BCA7B4BCAF5F","0","0","0","1","0",20,28,18
"Achillea erba-rotta","9EB3CF66-EDC4-FA15-0369-D5CE66893ACA","2037DCB2-4961-911B-637F-BCA7B4BCAF5F","0","1","0","1","0",20,30,28
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","088044D6-7E89-223D-7C7B-973EE0AC16CF","0","0","0","1","0",25,18,18
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","9A8E1C01-F17A-184D-6CA3-62B7AC4598CE","0","0","0","1","0",10,20,2
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","9A8E1C01-F17A-184D-6CA3-62B7AC4598CE","0","0","0","1","0",25,20,18
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","CAF729CB-0025-5280-32CA-F67D1D75AD0F","0","1","0","1","0",25,47,42
"Achillea erba-rotta","9EB3CF66-EDC4-FA15-0369-D5CE66893ACA","2037DCB2-4961-911B-637F-BCA7B4BCAF5F","0","0","0","1","1",15,28,9
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","088044D6-7E89-223D-7C7B-973EE0AC16CF","0","0","0","1","0",15,15,7
"Achillea erba-rotta","9EB3CF66-EDC4-FA15-0369-D5CE66893ACA","2037DCB2-4961-911B-637F-BCA7B4BCAF5F","0","0","0","1","1",7.5,29,4
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","303D5936-958B-11CB-E4E7-791C1B647CAD","0","0","0","1","0",10,20,2
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","303D5936-958B-11CB-E4E7-791C1B647CAD","0","0","0","1","0",15,20,7
"Achillea erba-rotta","4ABF122C-7DFC-20DB-2E6F-E00E2F9E889D","CAF729CB-0025-5280-32CA-F67D1D75AD0F","0","0","0","1","0",25,46,29
